City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port-Gentil,GA,73.36,broken clouds,-0.7193,8.7815,Fengshui Residence
3,Laguna,US,73.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
11,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,Le four à pain
12,Manicaragua,CU,72.43,broken clouds,22.1494,-79.9736,Hostal Las V
16,Sao Filipe,CV,76.69,broken clouds,14.8961,-24.4956,Hotel Xaguate
19,Victoria,HK,78.85,heavy intensity rain,22.2855,114.1577,Mini Central
21,Witu,KE,76.48,light rain,-2.3889,40.4382,
23,Massaguet,TD,74.71,light rain,12.4755,15.4365,Alwatane
35,Jacareacanga,BR,74.62,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
36,Lagoa,PT,73.45,light rain,39.05,-27.9833,Casa Das Faias
37,San Miguelito,PA,78.42,thunderstorm,9.0333,-79.5,Sheraton Grand Panama
41,Bubaque,GW,78.39,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
44,Tikamgarh,IN,76.26,overcast clouds,24.745,78.8333,White House
46,Porto Novo,BJ,73.89,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
47,Kilindoni,TZ,75.54,light rain,-7.9139,39.6668,Bustani B&B
50,Ribeira Grande,PT,75.13,light rain,38.5167,-28.7,Quinta da Meia Eira
52,Jibuti,DJ,79.54,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
54,Muisne,EC,72.39,light rain,0.6,-80.0333,Quinta Samay
61,Faya,SA,73.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
65,Quelimane,MZ,72.01,clear sky,-17.8786,36.8883,Hotel Flamingo
68,Carnarvon,AU,75.45,clear sky,-24.8667,113.6333,Hospitality Carnarvon
69,Bull Savanna,JM,75.52,clear sky,17.8868,-77.5902,Big Red's
71,Quatre Cocos,MU,73.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
83,San-Pedro,CI,73.92,overcast clouds,4.7485,-6.6363,Hotel Maria
86,Bambous Virieux,MU,73.22,light rain,-20.3428,57.7575,Casa Tia Villa
89,Grand Gaube,MU,73.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
96,Mangai,CD,74.35,scattered clouds,-4.05,19.5333,
102,Anloga,GH,73.89,overcast clouds,5.7947,0.8973,Pin Drop Hotel
103,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
105,Orel,RU,75.2,clear sky,52.9658,36.0803,Атлантида
106,Madison,US,74.86,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
112,Inhambane,MZ,72.25,clear sky,-23.865,35.3833,Oceano
113,Tchamba,TG,70.75,light rain,9.0333,1.4167,ROYAL HOTEL TCHAMBA
114,Save,BJ,71.29,overcast clouds,8.0425,2.4859999999999998,Le Cercle du Rail
116,Caravelas,BR,73.06,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
117,Acarau,BR,76.01,broken clouds,-2.8856,-40.12,castelo pizzaria
118,Almeirim,BR,72.72,few clouds,-1.5233,-52.5817,Ricácio Hotel
119,Vengerovo,RU,74.3,clear sky,55.6848,76.7471,Gostinitsa
120,Aksu,CN,76.48,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
121,Dragomiresti,RO,73.71,scattered clouds,44.9167,25.3333,Casa Licurici
125,Puerto Lopez,CO,70.81,scattered clouds,4.0845,-72.956,Resguardo Indigena Maguare
126,Am Timan,TD,71.19,light rain,11.0297,20.2827,Palais du chef Canton Salamt
129,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
130,Mahebourg,MU,73.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
131,Grand-Lahou,CI,74.32,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
140,Micheweni,TZ,76.05,light rain,-4.9667,39.8333,
142,Ambanja,MG,78.49,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
151,Saint-Paul,RE,73.51,clear sky,-21.0096,55.2707,Boucan Canot
159,Filadelfia,US,77.97,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
163,Umm Kaddadah,SD,75.72,light rain,13.6017,26.6876,
164,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
166,Ponta Delgada,PT,74.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
178,Ludwigsfelde,DE,73.18,clear sky,52.3,13.2667,B&B Hotel Berlin-Süd Genshagen
185,Tenenkou,ML,79.93,broken clouds,14.4572,-4.9169,
187,Harper,LR,75.4,overcast clouds,4.375,-7.7169,Screensaver
190,Jumla,NP,78.66,clear sky,29.2747,82.1838,Royal Garden Hotel
192,Tabou,CI,75.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
197,Omboue,GA,71.46,overcast clouds,-1.5746,9.2618,Hotel Olako
200,Kokologo,BF,75.99,light rain,12.1897,-1.8856,
201,El Rosario,MX,76.28,overcast clouds,24.2556,-107.1828,Mi casa
204,Hattiesburg,US,74.44,fog,31.3271,-89.2903,Quality Inn & Suites
206,Mogadishu,SO,77.49,broken clouds,2.0371,45.3438,Hotel Juba
209,Casablanca,MA,71.82,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
211,Kushmurun,KZ,73.08,overcast clouds,52.4503,64.6311,Gostinitsa Pri Depo
213,Malindi,KE,76.08,light rain,-3.2175,40.1191,African House Resort
214,Alnavar,IN,77.9,overcast clouds,15.4333,74.7333,Shri Manjunath hotel
217,Kinchil,MX,76.05,scattered clouds,20.9167,-89.95,Club de nutricion herbalife kinchil
223,Dubrovnik,HR,76.64,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
