City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port-Gentil,GA,-0.7193,8.7815,73.36,94,75,5.75,broken clouds
1,Saldanha,ZA,-33.0117,17.9442,51.85,83,100,5.88,overcast clouds
2,Torbay,CA,47.6666,-52.7314,58.26,95,100,6.91,overcast clouds
3,Laguna,US,38.421,-121.4238,73.44,62,0,8.05,clear sky
4,Bredasdorp,ZA,-34.5322,20.0403,52.0,94,100,8.12,light rain
5,Dattapur,IN,20.7667,78.1667,83.82,73,96,17.02,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,50.81,87,100,13.44,moderate rain
7,Qaanaaq,GL,77.484,-69.3632,35.89,76,97,8.55,overcast clouds
8,Pangnirtung,CA,66.1451,-65.7125,48.38,73,41,3.38,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,55.11,89,75,8.05,moderate rain
10,Busselton,AU,-33.65,115.3333,62.69,64,6,17.69,clear sky
11,Saint-Philippe,RE,-21.3585,55.7679,72.99,79,79,16.02,light rain
12,Manicaragua,CU,22.1494,-79.9736,72.43,97,79,3.47,broken clouds
13,Upernavik,GL,72.7868,-56.1549,41.47,87,78,10.31,broken clouds
14,Margate,GB,51.3813,1.3862,69.91,95,11,3.0,few clouds
15,Abu Kamal,SY,34.4506,40.9171,87.82,40,0,17.58,clear sky
16,Sao Filipe,CV,14.8961,-24.4956,76.69,80,54,14.61,broken clouds
17,Methoni,GR,36.8197,21.7049,83.21,58,1,2.17,clear sky
18,Guaranesia,BR,-21.2992,-46.8025,49.35,88,0,4.27,clear sky
19,Victoria,HK,22.2855,114.1577,78.85,94,83,7.05,heavy intensity rain
20,Iquique,CL,-20.2208,-70.1431,59.04,77,1,3.31,clear sky
21,Witu,KE,-2.3889,40.4382,76.48,75,48,14.7,light rain
22,Vila Velha,BR,-20.3297,-40.2925,68.95,74,0,11.5,clear sky
23,Massaguet,TD,12.4755,15.4365,74.71,86,100,5.66,light rain
24,Hobyo,SO,5.3505,48.5268,80.94,60,22,23.51,few clouds
25,Marsh Harbour,BS,26.5412,-77.0636,82.17,72,13,12.37,few clouds
26,Dikson,RU,73.5069,80.5464,47.19,80,93,27.6,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,10.36,clear sky
28,Walvis Bay,NA,-22.9575,14.5053,50.09,93,100,2.3,fog
29,Harwich,GB,51.9419,1.2844,68.22,85,20,4.0,few clouds
30,San Andres,CO,12.5847,-81.7006,82.42,89,100,8.05,overcast clouds
31,Pisco,PE,-13.7,-76.2167,57.25,88,75,2.3,mist
32,Berlevag,NO,70.8578,29.0864,51.8,71,100,31.07,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,33.46,69,40,3.44,scattered clouds
34,Jamestown,US,42.097,-79.2353,59.72,10,5,3.89,clear sky
35,Jacareacanga,BR,-6.2222,-57.7528,74.62,62,47,1.86,scattered clouds
36,Lagoa,PT,39.05,-27.9833,73.45,82,90,13.33,light rain
37,San Miguelito,PA,9.0333,-79.5,78.42,89,75,3.44,thunderstorm
38,Viedma,AR,-40.8135,-62.9967,49.73,43,75,10.29,broken clouds
39,George,ZA,-33.963,22.4617,53.64,84,97,11.05,overcast clouds
40,Kalengwa,ZM,-13.4659,25.0027,61.18,45,43,7.0,scattered clouds
41,Bubaque,GW,11.2833,-15.8333,78.39,87,99,16.71,moderate rain
42,Dingle,PH,10.9995,122.6711,86.99,70,93,3.24,overcast clouds
43,Akropong,GH,5.9746,-0.0854,67.84,88,96,4.45,overcast clouds
44,Tikamgarh,IN,24.745,78.8333,76.26,92,100,16.89,overcast clouds
45,Cristalina,BR,-16.7686,-47.6136,53.89,41,95,3.15,overcast clouds
46,Porto Novo,BJ,6.4965,2.6036,73.89,89,100,7.63,overcast clouds
47,Kilindoni,TZ,-7.9139,39.6668,75.54,71,14,9.86,light rain
48,Kavaratti,IN,10.5669,72.642,81.23,85,52,16.84,broken clouds
49,Riyadh,SA,24.6877,46.7219,99.37,17,44,26.06,scattered clouds
50,Ribeira Grande,PT,38.5167,-28.7,75.13,79,100,13.09,light rain
51,Irtyshskiy,RU,58.3333,68.1333,64.89,70,100,7.52,overcast clouds
52,Jibuti,DJ,11.5,42.5,79.54,63,100,8.39,overcast clouds
53,Livingstonia,MW,-10.606,34.1063,63.41,59,47,5.59,scattered clouds
54,Muisne,EC,0.6,-80.0333,72.39,89,100,8.84,light rain
55,Arica,CL,-18.475,-70.3042,57.76,88,17,1.81,few clouds
56,Hithadhoo,MV,-0.6,73.0833,82.92,74,82,15.61,broken clouds
57,Longonjo,AO,-12.9067,15.2533,57.56,24,1,3.85,clear sky
58,Nantucket,US,41.2835,-70.0995,68.02,48,99,2.39,overcast clouds
59,Port Elizabeth,ZA,-33.918,25.5701,58.32,92,100,5.99,overcast clouds
60,Arlit,NE,18.7369,7.3853,90.45,27,6,8.5,clear sky
61,Faya,SA,18.3851,42.4509,73.31,47,94,4.25,overcast clouds
62,Camacha,PT,33.0833,-16.3333,65.62,77,20,4.61,few clouds
63,Salinas,US,36.6777,-121.6555,66.42,75,0,8.05,clear sky
64,Imbituba,BR,-28.24,-48.6703,61.86,99,98,3.29,overcast clouds
65,Quelimane,MZ,-17.8786,36.8883,72.01,74,0,3.06,clear sky
66,Nowy Targ,PL,49.4778,20.0323,58.35,90,9,3.8,clear sky
67,Dharchula,IN,29.85,80.5333,86.13,59,3,6.2,clear sky
68,Carnarvon,AU,-24.8667,113.6333,75.45,31,0,12.1,clear sky
69,Bull Savanna,JM,17.8868,-77.5902,75.52,85,10,5.32,clear sky
